rank,description,company_name,state,industry,country,revenue,profits,assets,market_value,profits_rank,assets_rank,market_value_rank,employees,revenue_rank,ceo_name,ceo_title,city,year_founded,web_site
11,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other varieties of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, AppleCare, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak in April 1976 and is headquartered in Cupertino, CA.",Apple,California,Technology Hardware & Equipment,United States,451442,122575,371082,4409598,3,136,3,166000,4,Tim Cook,Chief Executive Officer,Cupertino,1976,http://www.apple.com
12,"Bank of China Ltd. engages in the provision of banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, trade related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises of investment holding and miscellaneous activities. The company was founded on February 5, 1912 and is headquartered in Beijing, China.",Bank of China,,Banking,China,173783,34527.7,5731478,196258,16,4,86,313746,42,Hui Zhang,CEO,Beijing,1929,http://www.boc.cn
13,"HSBC Holdings Plc engages in the provision of banking and financial services. It operates through the following business segments: Hong Kong, the United Kingdom (UK), Corporate and Institutional Banking (CIB), International Wealth and Premier Banking (IWPB), and Corporate Centre. The Hong Kong segment consists of retail banking and wealth and commercial banking of HSBC Hong Kong and Hang Seng Bank. The UK segment covers UK personal banking and commercial banking, including HSBC Innovation Bank. The CIB segment was formed from the integration of the commercial banking business outside the UK and Hong Kong with the global banking and markets business. The IWPB segment refers to premier banking outside of Hong Kong and the UK, the Private Bank, and wealth manufacturing businesses of asset management and insurance. The Corporate Centre segment is involved in central treasury, including balance sheet management, other legacy businesses, interests in associates and joint ventures, central stewardship costs, and the UK bank levy. The company was founded on January 1, 1959 and is headquartered in London, the United Kingdom.",HSBC Holdings,,Banking,United Kingdom,133581,21093,3306011,303625,32,9,45,209000,64,Georges Bahjat El-Hedery,Chief Executive Officer,London,1865,http://www.hsbc.com
14,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products. It operates through the following segments: Upstream, Energy Products, Chemical Products, and Specialty Products. The Upstream segment organizes the exploration of crude oil and natural gas. The Energy Products segment includes fuels, aromatics, and catalyst and licensing. The Chemical Products segment offers petrochemicals. The Specialty Products segment provides finished lubricants, basestocks and waxes, synthetics, and elastomers and resins. The company was founded by John D. Rockefeller in 1882 and is headquartered in Spring, TX.",ExxonMobil,Texas,Oil & Gas Operations,United States,329324,25314,464410,654570,21,104,19,58000,14,Darren W. Woods,Chief Executive Officer,Spring,1999,http://www.corporate.exxonmobil.com
15,"Samsung Electronics Co., Ltd. engages in the manufacturing and selling of electronics and computer peripherals. The company operates through following business divisions: Device Experience (DX), Device Solutions (DS), Samsung Display (SDC), and Harman. The DX division offers televisions, monitors, refrigerators, washing machines, air conditioners, smartphones, network systems, and computers. The DS division deals with semiconductor components including DRAM, NAND Flash, and mobile APs. The SDC division provides OLED panels for smartphones. The Harman division consists of digital cockpits, car audio, and portable speakers. The company was founded on January 13, 1969 and is headquartered in Suwon-si, South Korea.",Samsung Electronics,,Technology Hardware & Equipment,South Korea,272561,58489,413502,1174844,11,119,11,128881,22,Yoonie Joung,CEO and President,Suwon-si,1938,http://www.samsung.com
16,"Meta Platforms, Inc. engages in the development of social media applications. It builds technology that helps people connect and share, find communities, and grow businesses. It operates through the Family of Apps (FoA) and Reality Labs (RL) segments. The FoA segment consists of Facebook, Instagram, Messenger, WhatsApp, and other services. The RL segment includes augmented, mixed and virtual reality related consumer hardware, software, and content. The company was founded by Mark Elliot Zuckerberg, Dustin Moskovitz, Chris R. Hughes, Andrew McCollum, and Eduardo P. Saverin on February 4, 2004, and is headquartered in Menlo Park, CA.",Meta Platforms,California,IT Software & Services,United States,214962,70587,395250,1559178,8,124,10,78865,28,Mark Elliot Zuckerberg,Chief Executive Officer,Menlo Park,2004,http://www.about.meta.com
17,"Toyota Motor Corp. engages in the manufacture and sale of motor vehicles and parts. It operates through the following segments: Automotive, Financial Services, and All Other. The Automotive segment designs, manufactures, assembles and sells passenger cars, minivans, trucks, and related vehicle parts and accessories. It is also involved in the development of intelligent transport systems. The Financial Services segment offers purchase or lease financing to Toyota vehicle dealers and customers. It also provides retail leasing through lease contracts purchased by dealers. The All Others segment deals with the design, manufacture, and sale of housing, telecommunications and other businesses. The company was founded by Kiichiro Toyoda on August 28, 1937 and is headquartered in Toyota, Japan.",Toyota Motor,,Consumer Durables,Japan,336348,25536.2,663287,253526,20,78,60,,13,Kenta Kon,Chief Executive Officer,Toyota,1986,http://www.toyota.co.jp
18,"Citigroup, Inc. is a holding company, which engages in the provision of financial products and services. It operates through the following segments: Services, Markets, Banking, Wealth, U.S. Personal Banking (USPB), and All Other. The Services segment includes Treasury and Trade Solutions (TTS) which provides an integrated suite of tailored cash management, trade, and working capital solutions to multinational corporations, financial institutions and public sector organizations, and Securities Services, which offers cross-border support for clients, providing on-the-ground local market expertise, post-trade technologies, customized data solutions, and a wide range of securities services solutions that can be tailored to meet client needs. The Markets segment provides corporate, institutional, and public sector clients around the world with a full range of sales and trading services across equities, foreign exchange, rates, spread products, and commodities. The Banking segment offers Investment Banking and Corporate Lending services. The Wealth segment includes Private Bank, Wealth at Work, and Citigold and provides financial services to a range of client segments through banking, lending, mortgages, investment, custody, and trust product offerings. The USPB segment includes Branded Cards and Retail Services, which have proprietary card portfolios and co-branded card portfolios within Branded Cards, and co-brand and private label relationships within Retail Services. The All Other segment consists of activities not assigned to the reportable operating segments, including certain unallocated costs of global functions, other corporate expenses, and net treasury results. The company was founded in 1812 and is headquartered in New York, NY.",Citigroup,New York,Banking,United States,173861,15844,2777687,211654,50,13,75,226000,41,Jane Nind Fraser,Chief Executive Officer,New York,1812,http://www.citigroup.com
19,"The Goldman Sachs Group, Inc. engages in the provision of financial services. It operates through the following business segments: Global Banking and Markets, Asset and Wealth Management, and Platform Solutions. The Global Banking and Markets segment includes investment banking, global investments, and equity and debt investments. The Asset and Wealth Management segment relates to the direct-to-consumer banking business which includes lending, deposit-taking, and investing. The Platform Solutions segment includes consumer platforms such as partnerships offering credit cards and point-of-sale financing, and transaction banking. The company was founded by Marcus Goldman in 1869 and is headquartered in New York, NY.",Goldman Sachs Group,New York,Diversified Financials,United States,129006,18068,2060180,279805,44,20,52,47400,67,David Michael Solomon,Chief Executive Officer,New York,1869,http://www.goldmansachs.com
20,"Wells Fargo & Co. is a diversified and community-based financial services company, which engages in the provision of banking, insurance, investments, mortgage, and consumer and commercial finance products and services. It operates through the following segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth and Investment Management. The Consumer Banking and Lending segment offers consumer and small business banking, home lending, credit cards, auto, and personal lending. The Commercial Banking segment provides banking and credit products across industry sectors and municipalities, secured lending and lease products, and treasury management. The Corporate and Investment Banking segment is composed of corporate banking, investment banking, treasury management, commercial real estate lending and servicing, and equity and fixed income solutions, as well as sales, trading, and research capabilities. The Wealth and Investment Management segment refers to personalized wealth management, brokerage, financial planning, lending, private banking, trust, and fiduciary products and services. The company was founded by Henry Wells and William G. Fargo on March 18, 1852 and is headquartered in San Francisco, CA.",Wells Fargo,California,Banking,United States,125948,21697,2205752,224679,29,17,70,205000,69,Charlie Scharf,Chief Executive Officer,San Francisco,1852,http://www.wellsfargo.com
21,"Morgan Stanley operates as a global financial services company. The firm provides investment banking products and services to its clients and customers including corporations, governments, financial institutions, and individuals. It operates through the following segments: Institutional Securities, Wealth Management, and Investment Management. The Institutional Services segment provides financial advisory, capital-raising services, and related financing services on behalf of institutional investors. The Wealth Management segment offers brokerage and investment advisory services covering various types of investments, including equities, options, futures, foreign currencies, precious metals, fixed-income securities, mutual funds, structured products, alternative investments, unit investment trusts, managed futures, separately managed accounts, and mutual fund asset allocation programs. The Investment Management segment provides equity, fixed income, alternative investments, real estate, and merchant banking strategies. The company was founded by Harold Stanley and Henry S. Morgan in 1924 and is headquartered in New York, NY.",Morgan Stanley,New York,Diversified Financials,United States,123701,18113,1581418,303642,43,31,44,83000,73,Edward N. Pick,Chief Executive Officer,New York,1924,http://www.morganstanley.com
22,"PetroChina Co., Ltd. engages in the provision of petroleum-related products, services and other activities. It operates through Oil, Gas and New Energy; Refining Chemicals and New Materials, Sales; Natural Gas Sales; Head Office and Other Segments. The Oil, Gas and New Energy segment involves in the exploration, development, production, transportation and sale of oil and natural gas. The Refining Chemicals and New Materials segment engages in the refining of crude oil and petroleum products to derivate chemical products. The Sales segment offers the trading and sale of refined petroleum products and non-oil products. The Natural Gas Sales segment includes the transmission and sale of natural gas. The Head Office and Other segment provides capital management, financing, headquarters management, and services to other operating segments. The company was founded on November 5, 1999 and is headquartered in Beijing, China.",PetroChina,,Oil & Gas Operations,China,392552,22413.1,439812,254545,26,114,59,367173,9,Yi Lin Wang,Chairman,Beijing,1999,http://www.petrochina.com.cn
23,"Walmart, Inc. engages in the retail and wholesale business. The company offers an assortment of merchandise and services at everyday low prices. It operates through the following business segments: Walmart U.S., Walmart International, and Sam's Club. The Walmart U.S. segment operates as a mass merchandiser of consumer products, operating under the Walmart and Walmart Neighborhood Market brands, including walmart.com. The Walmart International segment includes operations of wholly-owned subsidiaries in Canada, Chile, China, and Africa, and majority-owned subsidiaries in India, as well as Mexico and Central America. The Sam's Club segment manages membership-only warehouse clubs and operates samsclub.com. The company was founded by Samuel Moore Walton and James Lawrence Walton on July 2, 1962 and is headquartered in Bentonville, AR.",Walmart,Arkansas,Retailing,United States,713163,21893,284668,1047787,28,176,12,2100000,2,John R. Furner,Chief Executive Officer,Bentonville,1962,http://corporate.walmart.com
24,"Royal Bank of Canada engages in the provision of banking and financial services. It operates through the following segments: Personal and Commercial Banking, Wealth Management, Insurance, Capital Markets, and Corporate Support. The Personal and Commercial Banking segment deals with a broad suite of financial products and services in both individual and business clients in Canada, the Caribbean, and the U.S. The Wealth Management segment offers a suite of wealth, investment, trust, banking, credit, and other advice-based solutions. It also offers other wealth management solutions to institutional and individual clients through its distribution channels and third-party distributors. The Insurance segment refers to a suite of advice and solutions for individual and business clients including life, health, wealth, property and casualty, travel, group benefits, annuities, and reinsurance. The Capital Markets segment is involved in the provision of advisory and origination, sales and trading, lending and financing and transaction banking to corporations, institutional clients, asset managers, private equity firms and governments globally. The Corporate Support segment consists of technology and operations services. The company was founded by J. W. Merkell, Edward Kenny, T. C. Kinnear, James B. Duffus, William Cunard, John Tobin, George P. Mitchell and Jeremiah Northup in 1864 and is headquartered in Toronto, Canada.",Royal Bank of Canada,,Banking,Canada,97817,15093.2,1729788,256273,54,27,58,96628,91,David Ian McKay,Chief Executive Officer,Toronto,1864,http://www.rbcroyalbank.com
25,"Banco Santander SA is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions. It operates through the following segments: Retail & Commercial Banking, Digital Consumer Bank, Corporate & Investment Banking, Wealth Management & Insurance, Payments, and Corporate Centre. The Retail & Commercial Banking segment integrates the retail banking business for individuals and commercial banking. The Digital Consumer Bank segment includes Santander Consumer Finance, which incorporates the entire consumer finance business in Europe, Openbank, Open Digital Services (ODS), and SBNA Consumer. The Corporate & Investment Banking segment includes markets, investment banking, finance, and global transactional banking; offers products and services on a global scale to corporate and institutional customers; and collaborates with other global businesses to better serve a broad customer base. The Wealth Management & Insurance segment includes the corporate unit of private banking and international private banking in Miami and Switzerland, the asset management business, the insurance business, and the unit that manages the investment platforms and stakes that complement wealth's traditional business. The Payments segment is involved in digital payment solutions, providing global technology solutions for banks and new customers in the open market. The Corporate Center segment includes centralized activities relating to equity stakes in financial companies and the financial management of the structural exchange rate position. The company was founded on March 21, 1857 and is headquartered in Madrid, Spain.",Santander,,Banking,Spain,122017,18718,2139203,173815,42,18,101,198403,75,Héctor Blas Grisi Checa,Chief Executive Officer,Madrid,1857,http://www.santander.com
26,"Ping An Insurance (Group) Co. of China Ltd. engages in the provision of financial products and services. It also engages in life insurance, property and casualty insurance, trust, securities, banking, and other businesses. It operates through the following segments: Life and Health Insurance, Property and Casualty Insurance, Banking, Trust, Securities, Other Asset Management, and Technology Business. The Life and Health Insurance segment offers life insurance products, including term, whole-life, endowment, annuity, investment-linked, universal life and health care and medical insurance, reflecting performance summary of life insurance, annuity assurance, and health insurance subsidiaries. The Property and Casualty Insurance segment provides insurance products including auto insurance, non-auto insurance, accident and health insurance, reflecting performance of property and casualty insurance subsidiary. The Banking segment undertakes loan and intermediary business, wealth management, and credit card services. The Trust segment provides trust services and undertakes investing activities. The Securities segment undertakes brokerage, trading, investment banking and asset management services. The Other Asset Management segment provides investment management services and financial leasing business, reflecting performance of asset management and financial leasing and the other asset management subsidiaries. The Technology Business segment provides financial and daily-life services through internet platforms such as financial transaction information service platform, health care service platform, reflecting performance summary of the technology business subsidiaries, associates and jointly controlled entities. The company was founded by Ming Zhe Ma on May 27, 1988 and is headquartered in Shenzhen, China.",Ping An Insurance Group,,Insurance,China,158134,18737.9,1988863,144421,40,21,137,258806,48,Mingzhe Ma,"Founder of the Company
Chairman (Executive Director)",Shenzhen,1988,http://group.pingan.com
27,"NVIDIA Corp. engages in the design and manufacture of computer graphics processors, chipsets, and related multimedia software. It operates through the following segments: Graphics Processing Unit (GPU) and Compute & Networking. The Graphics segment includes GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, Quadro and NVIDIA RTX GPUs for enterprise workstation graphics, virtual GPU, or vGPU, software for cloud-based visual and virtual computing, automotive platforms for infotainment systems, and Omniverse Enterprise software for building and operating metaverse and 3D internet applications. The Compute & Networking segment consists of Data Center accelerated computing platforms and end-to-end networking platforms including Quantum for InfiniBand and Spectrum for Ethernet, NVIDIA DRIVE automated-driving platform and automotive development agreements, Jetson robotics and other embedded platforms, NVIDIA AI Enterprise and other software, and DGX Cloud software and services. The company was founded by Jen Hsun Huang, Chris A. Malachowsky, and Curtis R. Priem in April 1993 and is headquartered in Santa Clara, CA.",NVIDIA,California,Semiconductors,United States,215938,120067,206803,5475276,4,227,1,42000,27,Jensen Huang,Chief Executive Officer,Santa Clara,1993,http://www.nvidia.com
28,"Shell Plc engages in the business of producing oil and natural gas. It operates through the following segments: Integrated Gas, Upstream, Marketing, Chemicals and Products, Renewables and Energy Solutions, and Corporate. The Integrated Gas segment includes liquefied natural gas, and conversion of natural gas into gas-to-liquids fuels. The Upstream segment focuses on exploration and extraction of crude oil, natural gas, and natural gas liquids. The Marketing segment is involved in mobility, lubricants, and sectors and decarbonization businesses. The Chemicals and Products segment consists of chemicals manufacturing plants with marketing network and refineries, which turn crude oil and other feedstocks into a range of oil products. The Renewables and Energy Solutions segment provides renewable power generation, marketing, trading, and optimizing power and pipeline gas, as well as carbon credits and digitally enabled customer solutions. The Corporate segment covers non-operating activities supporting Shell such as holdings, treasury organization, self-insurance activities, and headquarters and central functions. The company was founded in February 1907 and is headquartered in London, the United Kingdom.",Shell Plc,,Oil & Gas Operations,United Kingdom,267251,18731.7,380598,237825,41,133,63,85000,23,Wael Sawan,Chief Executive Officer,London,1907,http://www.shell.us
29,"UnitedHealth Group, Inc. engages in the provision of health care coverage, software, and data consultancy services. It operates through the following segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment utilizes Optum's capabilities to help coordinate patient care, improve affordability of medical care, analyze cost trends, manage pharmacy benefits, work with care providers more effectively, and create a simpler consumer experience. The OptumHealth segment provides health and wellness care, serving the broad health care marketplace including payers, care providers, employers, government, life sciences companies, and consumers. The OptumInsight segment focuses on data and analytics, technology, and information to help major participants in the healthcare industry. The OptumRx segment offers pharmacy care services. The company was founded by Richard T. Burke in January 1977 and is headquartered in Eden Prairie, MN.",UnitedHealth Group,Minnesota,Drugs & Biotechnology,United States,449713,12044,312644,357672,71,155,34,390000,5,Stephen J. Hemsley,Chief Executive Officer,Eden Prairie,1977,http://www.unitedhealthgroup.com
30,"Mitsubishi UFJ Financial Group, Inc. operates as a holding company, which provides financial services through its subsidiaries. It operates through the following segments: Retail & Digital Business Division, Corporate & Wealth Management Business Division, Corporate Banking Business Division, Global Commercial Banking Business Division, Asset Management Business Division, Global CIB Business Division, Markets Business Division and Others. The Retail & Digital Business segment manages Individual customers (excluding wealth management) through real, remote, and digital channels. Provision of financial services to corporations. The Corporate and Wealth Management Division segment Providing financial services to corporate and wealth management clients. The Corporate Banking Division segment Providing financial services to major Japanese companies in Japan and overseas. The Global Commercial Banking Division segment Providing financial services to individuals and small and medium-sized enterprises through overseas investment partners such as commercial banks. The Trusted Assets Division segment Providing asset management, asset administration, and pension services to domestic and international investors, asset management companies, and operating companies. The Global CIB Business Unit segment Providing financial services to non-Japanese large corporations. The Market Business Division segment Providing foreign exchange, financial, and securities services to clients, market trading, and liquidity and cash flow management services. The Others segment management duties and other tasks not belonging to the above business divisions. The company was founded on April 2, 2001 and is headquartered in Tokyo, Japan.",Mitsubishi UFJ Financial,,Banking,Japan,84341,16107.2,2713757,208464,49,14,76,,127,Junichi Hanzawa,Chief Executive Officer,Tokyo,2001,http://www.mufg.jp
31,"Taiwan Semiconductor Manufacturing Co., Ltd. engages in the manufacture and sale of integrated circuits and wafer semiconductor devices. Its chips are used in personal computers and peripheral products, information applications, wired and wireless communications systems products, and automotive and industrial equipment including consumer electronics such as smartphones, digital television, game consoles, and digital cameras. The company was founded by Chung Mou Chang on February 21, 1987 and is headquartered in Hsinchu, Taiwan.",Taiwan Semiconductor,,Semiconductors,Taiwan,132967,62493.3,270909,1862600,9,186,7,,65,Che Chia Wei,Chief Executive Officer,Hsinchu,1987,http://www.tsmc.com
32,"Allianz SE is a holding company, which engages in the provision of insurance and investment advisory services. It operates through the following segments: Property-Casualty, Life/Health, Asset Management, and Corporate and Other. The Property-Casualty segment offers insurance on personal accidents, general liability, fire, legal expense, credit, and travel. The Life/Health segment consists of annuities, endowment and term insurance, unit-linked and investment-oriented products, private and supplemental health, and long-term care insurance. The Asset Management segment provides institutional and retail asset management products and services. The Corporate and Other segment includes treasury, banking, and alternative investment activities. The company was founded by Wilhelm Finck and Carl Thieme on February 5, 1890 and is headquartered in Munich, Germany.",Allianz,,Insurance,Germany,158705,11966.3,1202961,165612,72,38,111,155785,47,Oliver Bäte,Chief Executive Officer,Munich,1890,http://www.allianz.de
